question_id,C2_full_recall,C2_partial_or_better,C2_missing,C2_contradiction,C4_full_recall,C4_partial_or_better,C4_missing,C4_contradiction
rq4-v1-001,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0
rq4-v1-002,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-003,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
rq4-v1-005,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-006,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-007,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-008,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-009,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-010,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-011,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-012,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-013,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-016,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-017,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-018,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
rq4-v1-019,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-021,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-024,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
rq4-v1-025,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-026,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-027,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-028,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-029,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-030,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-031,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-032,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-033,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-034,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-035,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-036,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-037,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-038,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0
rq4-v1-039,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
rq4-v1-040,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-041,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-042,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
rq4-v1-045,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
