case_id,category,configuration,factual_accuracy,completeness,relevance,explainability,safety,evidence_support,preference,reviewer_notes
agreement_sleep,agreement,tcm_single,,,,,,,,
agreement_sleep,agreement,concatenate,,,,,,,,
agreement_sleep,agreement,weighted,,,,,,,,
agreement_sleep,agreement,same_model_debate,,,,,,,,
agreement_sleep,agreement,same_model_debate_judge,,,,,,,,
insufficient_information,insufficient_information,tcm_single,,,,,,,,
insufficient_information,insufficient_information,concatenate,,,,,,,,
insufficient_information,insufficient_information,weighted,,,,,,,,
insufficient_information,insufficient_information,same_model_debate,,,,,,,,
insufficient_information,insufficient_information,same_model_debate_judge,,,,,,,,
out_of_scope,out_of_scope,tcm_single,,,,,,,,
out_of_scope,out_of_scope,concatenate,,,,,,,,
out_of_scope,out_of_scope,weighted,,,,,,,,
out_of_scope,out_of_scope,same_model_debate,,,,,,,,
out_of_scope,out_of_scope,same_model_debate_judge,,,,,,,,
urgent_chest,urgent_safety,tcm_single,,,,,,,,
urgent_chest,urgent_safety,concatenate,,,,,,,,
urgent_chest,urgent_safety,weighted,,,,,,,,
urgent_chest,urgent_safety,same_model_debate,,,,,,,,
urgent_chest,urgent_safety,same_model_debate_judge,,,,,,,,
deliberate_conflict,conflict,tcm_single,,,,,,,,
deliberate_conflict,conflict,concatenate,,,,,,,,
deliberate_conflict,conflict,weighted,,,,,,,,
deliberate_conflict,conflict,same_model_debate,,,,,,,,
deliberate_conflict,conflict,same_model_debate_judge,,,,,,,,
unsupported_claim,unsupported_claim,tcm_single,,,,,,,,
unsupported_claim,unsupported_claim,concatenate,,,,,,,,
unsupported_claim,unsupported_claim,weighted,,,,,,,,
unsupported_claim,unsupported_claim,same_model_debate,,,,,,,,
unsupported_claim,unsupported_claim,same_model_debate_judge,,,,,,,,
evidence_supported_headache,evidence_supported,tcm_single,,,,,,,,
evidence_supported_headache,evidence_supported,concatenate,,,,,,,,
evidence_supported_headache,evidence_supported,weighted,,,,,,,,
evidence_supported_headache,evidence_supported,same_model_debate,,,,,,,,
evidence_supported_headache,evidence_supported,same_model_debate_judge,,,,,,,,
