item_id,repeat_id,condition,anonymous_system_label,question_id,question,domain,difficulty,gold_atomic_fact,supplied_evidence,answer,review_label,review_reason,confidence
REPEAT_3-0001,REPEAT_3,C1,SYSTEM_B,tcmg-v1-051,"What traditional properties, meridians, and class are recorded for Peach Seed?",herbal,easy,"The source records Peach Seed as having these traditional properties: Bitter,Sweet,Calm.","Source entity: Peach Seed. Pinyin: Taoren. Latin name: Persicae Semen,Semen Persicae. Traditional properties: Bitter,Sweet,Calm. Meridians: Heart,Liver,Large Intestine. Traditional class: Blood Activating Stasis Removing Drugs. Source text: Herb: Peach Seed. Pinyin: Taoren. Latin name: Persicae Semen,Semen Persicae. Traditional properties: Bitter,Sweet,Calm. Meridians: Heart,Liver,Large Intestine. Traditional class: Blood Activating Stasis Removing Drugs. Used part: seed.","TCM educational synthesis: Peach Seed is recorded in traditional Chinese medicine with properties of mild, sweet, and bitter. It is associated with the Large Intestine, Liver, and Heart meridians. Its traditional class is Blood Activating Stasis Removing Drugs. The used part is the seed. It is traditionally used to promote blood circulation, eliminate phlegm, and relax the bowels. The source-recorded indications include amenorrhea, dysmenorrhea, concretion and conglomeration, lump glomus, knocks and falls, and intestinal dryness leading to constipation. Peach Seed is noted as slightly toxic. [tcmv1-98ead1a0f804f86de85925ff] [tcmv1-02a39a628010de96f81ba8bc] [tcmv1-f78d59d1400a1496c5362311]",PARTIALLY_SUPPORTED,"The answer preserves Bitter and Sweet but gives mild instead of the Gold property Calm, so the complete property set is only partially expressed.",MEDIUM
REPEAT_3-0002,REPEAT_3,C1,SYSTEM_B,tcmg-v1-051,"What traditional properties, meridians, and class are recorded for Peach Seed?",herbal,easy,"The source associates Peach Seed with these meridians: Heart,Liver,Large Intestine.","Source entity: Peach Seed. Pinyin: Taoren. Latin name: Persicae Semen,Semen Persicae. Traditional properties: Bitter,Sweet,Calm. Meridians: Heart,Liver,Large Intestine. Traditional class: Blood Activating Stasis Removing Drugs. Source text: Herb: Peach Seed. Pinyin: Taoren. Latin name: Persicae Semen,Semen Persicae. Traditional properties: Bitter,Sweet,Calm. Meridians: Heart,Liver,Large Intestine. Traditional class: Blood Activating Stasis Removing Drugs. Used part: seed.","TCM educational synthesis: Peach Seed is recorded in traditional Chinese medicine with properties of mild, sweet, and bitter. It is associated with the Large Intestine, Liver, and Heart meridians. Its traditional class is Blood Activating Stasis Removing Drugs. The used part is the seed. It is traditionally used to promote blood circulation, eliminate phlegm, and relax the bowels. The source-recorded indications include amenorrhea, dysmenorrhea, concretion and conglomeration, lump glomus, knocks and falls, and intestinal dryness leading to constipation. Peach Seed is noted as slightly toxic. [tcmv1-98ead1a0f804f86de85925ff] [tcmv1-02a39a628010de96f81ba8bc] [tcmv1-f78d59d1400a1496c5362311]",SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
REPEAT_3-0003,REPEAT_3,C1,SYSTEM_B,tcmg-v1-051,"What traditional properties, meridians, and class are recorded for Peach Seed?",herbal,easy,The source lists Peach Seed in this traditional class: Blood Activating Stasis Removing Drugs.,"Source entity: Peach Seed. Pinyin: Taoren. Latin name: Persicae Semen,Semen Persicae. Traditional properties: Bitter,Sweet,Calm. Meridians: Heart,Liver,Large Intestine. Traditional class: Blood Activating Stasis Removing Drugs. Source text: Herb: Peach Seed. Pinyin: Taoren. Latin name: Persicae Semen,Semen Persicae. Traditional properties: Bitter,Sweet,Calm. Meridians: Heart,Liver,Large Intestine. Traditional class: Blood Activating Stasis Removing Drugs. Used part: seed.","TCM educational synthesis: Peach Seed is recorded in traditional Chinese medicine with properties of mild, sweet, and bitter. It is associated with the Large Intestine, Liver, and Heart meridians. Its traditional class is Blood Activating Stasis Removing Drugs. The used part is the seed. It is traditionally used to promote blood circulation, eliminate phlegm, and relax the bowels. The source-recorded indications include amenorrhea, dysmenorrhea, concretion and conglomeration, lump glomus, knocks and falls, and intestinal dryness leading to constipation. Peach Seed is noted as slightly toxic. [tcmv1-98ead1a0f804f86de85925ff] [tcmv1-02a39a628010de96f81ba8bc] [tcmv1-f78d59d1400a1496c5362311]",SUPPORTED,"The answer states the same traditional class as the Gold fact, or a direct semantic equivalent.",HIGH
REPEAT_3-0004,REPEAT_3,C2,SYSTEM_B,tcmg-v1-051,"What traditional properties, meridians, and class are recorded for Peach Seed?",herbal,easy,"The source records Peach Seed as having these traditional properties: Bitter,Sweet,Calm.","Source entity: Peach Seed. Pinyin: Taoren. Latin name: Persicae Semen,Semen Persicae. Traditional properties: Bitter,Sweet,Calm. Meridians: Heart,Liver,Large Intestine. Traditional class: Blood Activating Stasis Removing Drugs. Source text: Herb: Peach Seed. Pinyin: Taoren. Latin name: Persicae Semen,Semen Persicae. Traditional properties: Bitter,Sweet,Calm. Meridians: Heart,Liver,Large Intestine. Traditional class: Blood Activating Stasis Removing Drugs. Used part: seed.","TCM educational synthesis: Herbal Knowledge Agent: Peach Seed, also known as Peach Kernel, is recorded in traditional Chinese medicine with properties of mild, sweet, and bitter. It is associated with the Large Intestine, Liver, and Heart meridians. The traditional class of Peach Seed is categorized as a Blood Activating Stasis Removing Drug. The used part is the seed. Its source-recorded functions include promoting blood circulation, eliminating phlegm, and relaxing the bowels. The indications are amenorrhea, dysmenorrhea, concretion and conglomeration, lump glomus, knocks and falls, and intestinal dryness leading to constipation. It is noted to be slightly toxic. [tcmv1-98ead1a0f804f86de85925ff] [tcmv1-02a39a628010de96f81ba8bc] [tcmv1-f78d59d1400a1496c5362311]",PARTIALLY_SUPPORTED,"The answer preserves Bitter and Sweet but gives mild instead of the Gold property Calm, so the complete property set is only partially expressed.",MEDIUM
REPEAT_3-0005,REPEAT_3,C2,SYSTEM_B,tcmg-v1-051,"What traditional properties, meridians, and class are recorded for Peach Seed?",herbal,easy,"The source associates Peach Seed with these meridians: Heart,Liver,Large Intestine.","Source entity: Peach Seed. Pinyin: Taoren. Latin name: Persicae Semen,Semen Persicae. Traditional properties: Bitter,Sweet,Calm. Meridians: Heart,Liver,Large Intestine. Traditional class: Blood Activating Stasis Removing Drugs. Source text: Herb: Peach Seed. Pinyin: Taoren. Latin name: Persicae Semen,Semen Persicae. Traditional properties: Bitter,Sweet,Calm. Meridians: Heart,Liver,Large Intestine. Traditional class: Blood Activating Stasis Removing Drugs. Used part: seed.","TCM educational synthesis: Herbal Knowledge Agent: Peach Seed, also known as Peach Kernel, is recorded in traditional Chinese medicine with properties of mild, sweet, and bitter. It is associated with the Large Intestine, Liver, and Heart meridians. The traditional class of Peach Seed is categorized as a Blood Activating Stasis Removing Drug. The used part is the seed. Its source-recorded functions include promoting blood circulation, eliminating phlegm, and relaxing the bowels. The indications are amenorrhea, dysmenorrhea, concretion and conglomeration, lump glomus, knocks and falls, and intestinal dryness leading to constipation. It is noted to be slightly toxic. [tcmv1-98ead1a0f804f86de85925ff] [tcmv1-02a39a628010de96f81ba8bc] [tcmv1-f78d59d1400a1496c5362311]",SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
REPEAT_3-0006,REPEAT_3,C2,SYSTEM_B,tcmg-v1-051,"What traditional properties, meridians, and class are recorded for Peach Seed?",herbal,easy,The source lists Peach Seed in this traditional class: Blood Activating Stasis Removing Drugs.,"Source entity: Peach Seed. Pinyin: Taoren. Latin name: Persicae Semen,Semen Persicae. Traditional properties: Bitter,Sweet,Calm. Meridians: Heart,Liver,Large Intestine. Traditional class: Blood Activating Stasis Removing Drugs. Source text: Herb: Peach Seed. Pinyin: Taoren. Latin name: Persicae Semen,Semen Persicae. Traditional properties: Bitter,Sweet,Calm. Meridians: Heart,Liver,Large Intestine. Traditional class: Blood Activating Stasis Removing Drugs. Used part: seed.","TCM educational synthesis: Herbal Knowledge Agent: Peach Seed, also known as Peach Kernel, is recorded in traditional Chinese medicine with properties of mild, sweet, and bitter. It is associated with the Large Intestine, Liver, and Heart meridians. The traditional class of Peach Seed is categorized as a Blood Activating Stasis Removing Drug. The used part is the seed. Its source-recorded functions include promoting blood circulation, eliminating phlegm, and relaxing the bowels. The indications are amenorrhea, dysmenorrhea, concretion and conglomeration, lump glomus, knocks and falls, and intestinal dryness leading to constipation. It is noted to be slightly toxic. [tcmv1-98ead1a0f804f86de85925ff] [tcmv1-02a39a628010de96f81ba8bc] [tcmv1-f78d59d1400a1496c5362311]",SUPPORTED,"The answer states the same traditional class as the Gold fact, or a direct semantic equivalent.",HIGH
REPEAT_3-0007,REPEAT_3,C2,SYSTEM_A,tcmg-v1-002,"What traditional properties, meridians, and class are recorded for Fengla?",herbal,easy,"The source records Fengla as having these traditional properties: Sweet,Slightly Warm.","Source entity: Fengla. Pinyin: Fengla. Latin name: Cera Flava. Traditional properties: Sweet,Slightly Warm. Meridians: Spleen. Traditional class: Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching. Source text: Herb: Fengla. Pinyin: Fengla. Latin name: Cera Flava. Traditional properties: Sweet,Slightly Warm. Meridians: Spleen. Traditional class: Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching.","TCM educational synthesis: Herbal Knowledge Agent: Fengla is recorded in traditional Chinese medicine with properties of Sweet and Slightly Warm. It is associated with the Spleen meridian. Its traditional class includes Medicinal For Detoxification, Parasiticide, Drying Dampness And Relieving Itching. [tcmv1-008bc5af3eced1bdcca7a904] [tcmv1-15d4c2e795991b5a1e7d3d60] [tcmv1-e25f36c540626399f3ec3663]",SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/order differences.",HIGH
REPEAT_3-0008,REPEAT_3,C2,SYSTEM_A,tcmg-v1-002,"What traditional properties, meridians, and class are recorded for Fengla?",herbal,easy,The source associates Fengla with these meridians: Spleen.,"Source entity: Fengla. Pinyin: Fengla. Latin name: Cera Flava. Traditional properties: Sweet,Slightly Warm. Meridians: Spleen. Traditional class: Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching. Source text: Herb: Fengla. Pinyin: Fengla. Latin name: Cera Flava. Traditional properties: Sweet,Slightly Warm. Meridians: Spleen. Traditional class: Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching.","TCM educational synthesis: Herbal Knowledge Agent: Fengla is recorded in traditional Chinese medicine with properties of Sweet and Slightly Warm. It is associated with the Spleen meridian. Its traditional class includes Medicinal For Detoxification, Parasiticide, Drying Dampness And Relieving Itching. [tcmv1-008bc5af3eced1bdcca7a904] [tcmv1-15d4c2e795991b5a1e7d3d60] [tcmv1-e25f36c540626399f3ec3663]",SUPPORTED,The answer states the same source-recorded meridian associations as the Gold fact.,HIGH
REPEAT_3-0009,REPEAT_3,C2,SYSTEM_A,tcmg-v1-002,"What traditional properties, meridians, and class are recorded for Fengla?",herbal,easy,The source lists Fengla in this traditional class: Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching.,"Source entity: Fengla. Pinyin: Fengla. Latin name: Cera Flava. Traditional properties: Sweet,Slightly Warm. Meridians: Spleen. Traditional class: Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching. Source text: Herb: Fengla. Pinyin: Fengla. Latin name: Cera Flava. Traditional properties: Sweet,Slightly Warm. Meridians: Spleen. Traditional class: Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching.","TCM educational synthesis: Herbal Knowledge Agent: Fengla is recorded in traditional Chinese medicine with properties of Sweet and Slightly Warm. It is associated with the Spleen meridian. Its traditional class includes Medicinal For Detoxification, Parasiticide, Drying Dampness And Relieving Itching. [tcmv1-008bc5af3eced1bdcca7a904] [tcmv1-15d4c2e795991b5a1e7d3d60] [tcmv1-e25f36c540626399f3ec3663]",SUPPORTED,"The answer states the same traditional class as the Gold fact, or a direct semantic equivalent.",HIGH
REPEAT_3-0010,REPEAT_3,C1,SYSTEM_A,tcmg-v1-002,"What traditional properties, meridians, and class are recorded for Fengla?",herbal,easy,"The source records Fengla as having these traditional properties: Sweet,Slightly Warm.","Source entity: Fengla. Pinyin: Fengla. Latin name: Cera Flava. Traditional properties: Sweet,Slightly Warm. Meridians: Spleen. Traditional class: Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching. Source text: Herb: Fengla. Pinyin: Fengla. Latin name: Cera Flava. Traditional properties: Sweet,Slightly Warm. Meridians: Spleen. Traditional class: Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching.","TCM educational synthesis: Fengla is recorded with traditional properties of Sweet and Slightly Warm. It is associated with the Spleen meridian. The traditional class of Fengla includes Medicinal For Detoxification, Parasiticide, and Drying Dampness And Relieving Itching. [tcmv1-008bc5af3eced1bdcca7a904] [tcmv1-15d4c2e795991b5a1e7d3d60] [tcmv1-e25f36c540626399f3ec3663]",SUPPORTED,"The answer states the same source-recorded traditional properties as the Gold fact, allowing harmless wording/order differences.",HIGH
