execution_sequence,question_id,condition,run_status,usable_real_provider_output,provider_failure,retry_required,fallback,provider_attempted,provider_succeeded,latency_ms,gold_fact_count,gold_facts_retrieved,gold_facts_cited,gold_evidence_retrieval_recall,gold_evidence_citation_recall,citation_precision,multi_target,multi_target_both_targets_retrieved,multi_target_both_targets_cited,routing_correctness,failure_reason
"1","tcmg-v1-051","C1","PASS","true","false","false","false","1","1","32826","3","3","3","1","1","0.3333333333333333","false","","","",""
"2","tcmg-v1-051","C2","PASS","true","false","false","false","1","1","5262","3","3","3","1","1","0.3333333333333333","false","","","true",""
"3","tcmg-v1-002","C2","PASS","true","false","false","false","1","1","2803","3","3","3","1","1","0.3333333333333333","false","","","true",""
"4","tcmg-v1-002","C1","PASS","true","false","false","false","1","1","8785","3","3","3","1","1","0.3333333333333333","false","","","",""
"5","tcmg-v1-052","C2","PASS","true","false","false","false","1","1","5547","3","3","3","1","1","0.3333333333333333","false","","","true",""
"6","tcmg-v1-052","C1","PASS_WITH_RETRY","true","false","true","false","2","1","62522","3","3","3","1","1","0.3333333333333333","false","","","",""
"7","tcmg-v1-004","C2","PASS","true","false","false","false","1","1","16046","3","3","3","1","1","0.3333333333333333","false","","","true",""
"8","tcmg-v1-004","C1","PASS","true","false","false","false","1","1","2452","3","3","3","1","1","0.3333333333333333","false","","","",""
"9","tcmg-v1-005","C1","PASS","true","false","false","false","1","1","4746","3","3","3","1","1","0.3333333333333333","false","","","",""
"10","tcmg-v1-005","C2","PASS","true","false","false","false","1","1","39300","3","3","3","1","1","0.3333333333333333","false","","","true",""
"11","tcmg-v1-006","C1","PASS","true","false","false","false","1","1","24340","3","3","3","1","1","0.3333333333333333","false","","","",""
"12","tcmg-v1-006","C2","PASS","true","false","false","false","1","1","19793","3","3","3","1","1","0.3333333333333333","false","","","true",""
"13","tcmg-v1-007","C2","PASS_WITH_RETRY","true","false","true","false","2","1","50270","3","3","3","1","1","0.3333333333333333","false","","","true",""
