question_id,condition,system,anonymous_system_label,usable_real_provider_output,included_in_complete_pair,gold_fact_count,supported_count,partially_supported_count,not_supported_count,contradicted_count,unresolved_count,full_recall,partial_or_better_recall,missing_gold_rate,contradiction_rate,run_status,latency_ms,provider_attempted,provider_succeeded,fallback,gold_evidence_retrieval_recall,gold_evidence_citation_recall,citation_precision
tcmc-v1-001,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,40332,1,1,false,1.0,1.0,1.0
tcmc-v1-001,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,30595,1,1,false,1.0,1.0,1.0
tcmc-v1-002,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,16212,1,1,false,1.0,1.0,1.0
tcmc-v1-002,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4665,1,1,false,1.0,1.0,1.0
tcmc-v1-003,C1,Single-RAG,SYSTEM_A,true,true,3,0,1,1,1,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,PASS,4011,1,1,false,0.0,0.0,0.0
tcmc-v1-003,C2,Multi-Agent,SYSTEM_B,true,true,3,0,1,1,1,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,PASS,8138,1,1,false,0.0,0.0,0.0
tcmc-v1-004,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5239,1,1,false,1.0,1.0,1.0
tcmc-v1-004,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5414,1,1,false,1.0,1.0,1.0
tcmc-v1-005,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3465,1,1,false,1.0,1.0,1.0
tcmc-v1-005,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3220,1,1,false,1.0,1.0,1.0
tcmc-v1-006,C1,Single-RAG,SYSTEM_A,true,true,3,0,0,3,0,0,0.0,0.0,1.0,0.0,PASS,4799,1,1,false,0.0,0.0,0.0
tcmc-v1-006,C2,Multi-Agent,SYSTEM_B,true,true,3,0,0,3,0,0,0.0,0.0,1.0,0.0,PASS,36423,1,1,false,0.0,0.0,0.0
tcmc-v1-007,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,17041,1,1,false,1.0,1.0,1.0
tcmc-v1-007,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4123,1,1,false,1.0,1.0,1.0
tcmc-v1-008,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,6912,1,1,false,1.0,1.0,1.0
tcmc-v1-008,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5684,1,1,false,1.0,1.0,1.0
tcmc-v1-009,C1,Single-RAG,SYSTEM_A,false,false,1,0,0,0,0,0,,,,,FAIL_PROVIDER,6657,2,0,true,1.0,1.0,0.3333333333333333
tcmc-v1-009,C2,Multi-Agent,SYSTEM_B,false,false,1,0,0,0,0,0,,,,,FAIL_PROVIDER,6566,2,0,true,1.0,1.0,0.3333333333333333
tcmc-v1-010,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4413,1,1,false,1.0,1.0,1.0
tcmc-v1-010,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4562,1,1,false,1.0,1.0,1.0
tcmc-v1-011,C1,Single-RAG,SYSTEM_A,true,true,3,0,1,1,1,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,PASS,3478,1,1,false,0.0,0.0,0.0
tcmc-v1-011,C2,Multi-Agent,SYSTEM_B,true,true,3,0,1,1,1,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,PASS_WITH_RETRY,7160,2,1,false,0.0,0.0,0.0
tcmc-v1-012,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3055,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-012,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3844,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-013,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3521,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-013,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3963,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-014,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,1927,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-014,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,9982,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-015,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4271,1,1,false,1.0,1.0,1.0
tcmc-v1-015,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,19098,1,1,false,1.0,1.0,1.0
tcmc-v1-016,C1,Single-RAG,SYSTEM_A,true,true,3,1,0,2,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,PASS,25777,1,1,false,0.0,0.0,0.0
tcmc-v1-016,C2,Multi-Agent,SYSTEM_B,true,true,3,1,0,2,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,PASS,3684,1,1,false,0.0,0.0,0.0
tcmc-v1-017,C1,Single-RAG,SYSTEM_A,true,true,3,2,0,1,0,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,PASS,4427,1,1,false,1.0,1.0,1.0
tcmc-v1-017,C2,Multi-Agent,SYSTEM_B,true,true,3,2,0,1,0,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,PASS,34415,1,1,false,1.0,1.0,1.0
tcmc-v1-018,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3308,1,1,false,1.0,1.0,1.0
tcmc-v1-018,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3712,1,1,false,1.0,1.0,1.0
tcmc-v1-019,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5019,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-019,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5624,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-020,C1,Single-RAG,SYSTEM_A,true,true,2,1,0,1,0,0,0.5,0.5,0.5,0.0,PASS,4189,1,1,false,1.0,1.0,1.0
tcmc-v1-020,C2,Multi-Agent,SYSTEM_B,true,true,2,1,0,1,0,0,0.5,0.5,0.5,0.0,PASS,2721,1,1,false,1.0,1.0,1.0
tcmc-v1-021,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3695,1,1,false,1.0,1.0,1.0
tcmc-v1-021,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5683,1,1,false,1.0,1.0,1.0
tcmc-v1-022,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4544,1,1,false,1.0,1.0,1.0
tcmc-v1-022,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4185,1,1,false,1.0,1.0,1.0
tcmc-v1-023,C1,Single-RAG,SYSTEM_A,false,false,3,0,0,0,0,0,,,,,FAIL_PROVIDER,45602,2,0,true,1.0,1.0,0.3333333333333333
tcmc-v1-023,C2,Multi-Agent,SYSTEM_B,false,false,3,0,0,0,0,0,,,,,FAIL_PROVIDER,10289,2,0,true,1.0,1.0,0.3333333333333333
tcmc-v1-024,C1,Single-RAG,SYSTEM_A,true,true,2,0,0,2,0,0,0.0,0.0,1.0,0.0,PASS,2876,1,1,false,0.0,0.0,0.0
tcmc-v1-024,C2,Multi-Agent,SYSTEM_B,true,true,2,0,0,2,0,0,0.0,0.0,1.0,0.0,PASS,3185,1,1,false,0.0,0.0,0.0
tcmc-v1-025,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,26127,1,1,false,1.0,1.0,1.0
tcmc-v1-025,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3447,1,1,false,1.0,1.0,1.0
tcmc-v1-026,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3660,1,1,false,1.0,1.0,1.0
tcmc-v1-026,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,23809,1,1,false,1.0,1.0,1.0
tcmc-v1-027,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,19841,1,1,false,1.0,1.0,0.5
tcmc-v1-027,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4133,1,1,false,1.0,1.0,0.5
tcmc-v1-028,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3402,1,1,false,1.0,1.0,1.0
tcmc-v1-028,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3810,1,1,false,1.0,1.0,1.0
tcmc-v1-029,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,8339,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-029,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3516,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-030,C1,Single-RAG,SYSTEM_A,true,false,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,18083,1,1,false,1.0,1.0,1.0
tcmc-v1-030,C2,Multi-Agent,SYSTEM_B,false,false,3,0,0,0,0,0,,,,,FAIL_PROVIDER,9883,2,0,true,1.0,1.0,0.3333333333333333
tcmc-v1-031,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,2843,1,1,false,1.0,1.0,1.0
tcmc-v1-031,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,35259,1,1,false,1.0,1.0,1.0
tcmc-v1-032,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3254,1,1,false,1.0,1.0,1.0
tcmc-v1-032,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,20833,1,1,false,1.0,1.0,1.0
tcmc-v1-033,C1,Single-RAG,SYSTEM_A,false,false,3,0,0,0,0,0,,,,,FAIL_PROVIDER,12283,2,0,true,1.0,1.0,0.3333333333333333
tcmc-v1-033,C2,Multi-Agent,SYSTEM_B,false,false,3,0,0,0,0,0,,,,,FAIL_PROVIDER,11511,2,0,true,1.0,1.0,0.3333333333333333
tcmc-v1-034,C1,Single-RAG,SYSTEM_A,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4715,1,1,false,1.0,1.0,1.0
tcmc-v1-034,C2,Multi-Agent,SYSTEM_B,true,true,3,3,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3396,1,1,false,1.0,1.0,1.0
