blind_id,case_id,retrieval_condition,answerability,expected_evidence_points,expected_point_judgments,n_expected_points,n_fully_covered,n_partially_covered,n_not_covered,n_contradicted,full_coverage_score,partial_credit_coverage_score,unsupported_claim_present,unsupported_claim_count,contradiction_present,insufficient_handling,judge_confidence,judge_rationale
EV0001,westbench-v0.1-cough-10,R0,partially_supported,"P1: Cough-challenge methods varied across protocols and delivery choices.
P2: Outcome measures varied in validation and applicability to chronic respiratory diseases.
P3: The honey review reported risk-of-bias and evidence-certainty limitations.",P1=not_covered; P2=covered; P3=not_covered,3,1,0,2,0,0.3333333333333333,0.3333333333333333,False,0,False,,high,"Covers outcome-measure validation/applicability and general heterogeneity, but not cough-challenge protocol/delivery variation or the honey review's bias/certainty limitations."
EV0002,westbench-v0.1-cough-07,R1,supported,"P1: Crowdsourced cough datasets can contain variable numbers of coughs per recording and class imbalance between COVID-19-positive and healthy samples.
P2: The reviewed systems also raised methodological concerns including possible overfitting and uncertain laboratory confirmation in some datasets.",P1=covered; P2=not_covered,2,1,0,1,0,0.5,0.5,False,0,False,,high,Covers the variable cough count and class imbalance directly; does not address the expected overfitting/laboratory-confirmation concerns.
EV0003,westbench-v0.1-constipation-02,R1,supported,"P1: Measures covered social relationships, treatment satisfaction, physical symptoms, diet, daily activities, and psychological state.",P1=covered,1,1,0,0,0,1,1,False,0,False,,high,Directly states all six frozen quality-of-life domains; additional questionnaire details are supported by the supplied passages.
EV0004,westbench-v0.1-cough-07,R3,supported,"P1: Crowdsourced cough datasets can contain variable numbers of coughs per recording and class imbalance between COVID-19-positive and healthy samples.
P2: The reviewed systems also raised methodological concerns including possible overfitting and uncertain laboratory confirmation in some datasets.",P1=covered; P2=not_covered,2,1,0,1,0,0.5,0.5,True,1,False,,high,Covers variable cough count and class imbalance. It does not state the expected overfitting or uncertain laboratory-confirmation issue; the added claim that clinically diagnosed data itself creates bias/generalizability limits is not supported by the supplied passages.
EV0005,westbench-v0.1-headache-03,R1,supported,"P1: The review reports benefits for eptinezumab, onabotulinumtoxinA, fremanezumab, and galcanezumab across selected outcomes.",P1=covered,1,1,0,0,0,1,1,False,0,False,,high,"Identifies eptinezumab, onabotulinumtoxinA, fremanezumab, and galcanezumab as beneficial preventive options; additional treatment details remain supported by the supplied evidence."
EV0006,westbench-v0.1-constipation-03,R3,supported,"P1: The review reports variation by diagnostic approach, population source, age, mental health, and dietary fibre evidence.",P1=covered,1,1,0,0,0,1,1,False,0,False,,high,"Covers diagnostic approach, population source, age, mental health, and dietary-fibre evidence, with additional geographic detail supported by the passages."
EV0007,westbench-v0.1-constipation-05,R1,supported,P1: The review describes several digital administration formats but notes limited reporting about digitization and validation procedures.,P1=covered,1,1,0,0,0,1,1,False,0,False,,high,"Accurately describes handheld electronic diaries, online administration, automated telephone/IVR collection, and the lack of reported digitization/validation procedures."
EV0008,westbench-v0.1-dyspepsia-02,R0,supported,P1: Clinical heterogeneity in interventions and outcome measurement prevented quantitative synthesis and firm conclusions.,P1=covered,1,1,0,0,0,1,1,False,0,False,,high,Directly explains that heterogeneity in interventions and outcome measurement prevented quantitative synthesis and a firm effect-size conclusion.
EV0009,westbench-v0.1-cough-11,R0,insufficient,"P1: The pilot reports limited follow-up, including a three-month comparison, rather than evidence extending to a year.",P1=partially_covered,1,0,1,0,0,0,0.5,False,0,False,appropriate_abstention,high,"Correctly states that the supplied evidence does not establish persistence for a year or longer, but does not mention the frozen three-month follow-up detail."
EV0010,westbench-v0.1-dyspepsia-05,R0,supported,"P1: Trials used several questionnaires and visual scales, with heterogeneous outcome instruments across studies.",P1=covered,1,1,0,0,0,1,1,False,0,False,,high,Accurately identifies the mix of questionnaires/visual scales and the heterogeneous outcome instruments used across movement- or body-based trials.
