question_id,paired_repeats,c1_full_recall,c2_full_recall,c1_partial_or_better,c2_partial_or_better,c1_missing_rate,c2_missing_rate,c1_contradiction_rate,c2_contradiction_rate,delta_full_recall,delta_partial_or_better,delta_missing_rate,delta_contradiction_rate
tcmg-v1-051,3,0.6666666666666666,0.6666666666666666,1,1,0,0,0,0,0,0,0,0
tcmg-v1-002,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-052,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-004,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-005,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-006,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-007,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-053,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0
tcmg-v1-054,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-010,3,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.1111111111111111,0,0,0,0,0,0
tcmg-v1-011,3,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.1111111111111111,0.3333333333333333,0,0,-0.2222222222222222,-0.2222222222222222,0.2222222222222222,0
tcmg-v1-012,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
tcmg-v1-055,3,0,0,1,1,0,0,0,0,0,0,0,0
tcmg-v1-056,3,1,0.8333333333333334,1,1,0,0,0,0,-0.16666666666666663,0,0,0
tcmg-v1-015,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-016,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-017,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-018,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-019,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-022,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-023,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-024,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-025,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-026,3,1,0.5,1,1,0,0,0,0,-0.5,0,0,0
tcmg-v1-027,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-028,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-029,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-030,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-031,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-032,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-057,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-034,3,0.6666666666666666,0.6666666666666666,1,1,0,0,0,0,0,0,0,0
tcmg-v1-035,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-036,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-037,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-038,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-040,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-058,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-044,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-045,3,0.8888888888888888,1,1,1,0,0,0,0,0.11111111111111116,0,0,0
tcmg-v1-046,3,0.6666666666666666,1,0.6666666666666666,1,0.3333333333333333,0,0,0,0.33333333333333337,0.33333333333333337,-0.3333333333333333,0
tcmg-v1-047,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-048,2,0.3333333333333333,1,0.8333333333333333,1,0.16666666666666666,0,0,0,0.6666666666666667,0.16666666666666674,-0.16666666666666666,0
tcmg-v1-059,3,1,1,1,1,0,0,0,0,0,0,0,0
tcmg-v1-050,3,0.3333333333333333,1,0.8888888888888888,1,0.1111111111111111,0,0,0,0.6666666666666667,0.11111111111111116,-0.1111111111111111,0
