item_id,question_id,anonymous_system_label,question,gold_atomic_fact,source_evidence,answer,review_label,review_reason,confidence
RQ4-rq4-v1-057-SYSTEM_A-F03,rq4-v1-057,SYSTEM_A,"What source-recorded functions, indications, and used part are listed for Hairy Bayberry?",The source records the used part of Hairy Bayberry as: bark.,"Source entity: Hairy Bayberry. Source: TCMBank. Herb: Hairy Bayberry. Pinyin: MAO YANG MEI. Latin name: Myrica esculent. Used part: bark. Source-recorded function: To astringe intestines and check diarrhea, stanch bleeding, relieve pain.. Source-recorded indication: Diarrhea, dysentery, flooding and spotting, stomachache..","TCM educational synthesis: Herbal Knowledge Agent: Hairy Bayberry: The supplied evidence records that the bark is the used part. It is traditionally reported to have functions of astringing the intestines to check diarrhea, staunching bleeding, and relieving pain. Its source-recorded indications include diarrhea, dysentery, flooding and spotting, and stomachache. [tcmv1-0eb913d23bd7db7c6d3bc4f4] The retrieved evidence describes these topics separately and does not establish an explicit relationship between them.",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-027-SYSTEM_B-F02,rq4-v1-027,SYSTEM_B,"What source-recorded functions, indications, and used part are listed for Parmelia Lichen?","The source records the indication of Parmelia Lichen as: Blurred vision, pain in lumbus and knees, blood ejection, flooding and spotting, jaundice, scab and lichen..","Source entity: Parmelia Lichen. Source: TCMBank. Herb: Parmelia Lichen. Pinyin: SHI HUA. Latin name: Parmelia saxatilis. Used part: lichen. Source-recorded function: To supplement liver and boost kidney, brighten eyes, stanch bleeding, resolve toxin and disinhibit damp.. Source-recorded indication: Blurred vision, pain in lumbus and knees, blood ejection, flooding and spotting, jaundice, scab and lichen..","TCM educational synthesis: Herbal Knowledge Agent: Parmelia Lichen, known as SHI HUA in pinyin, is sourced from the Latin name Parmelia saxatilis. The evidence records that it is used in traditional Chinese medicine for its functions of supplementing liver and boosting kidney, brightening eyes, stanching bleeding, resolving toxin, and disinhibiting damp. It is traditionally indicated for conditions such as blurred vision, pain in lumbus and knees, blood ejection, flooding and spotting, jaundice, scab, and lichen. [tcmv1-0a900eb799f6c9d85610cd00] The retrieved evidence describes these topics separately and does not establish an explicit relationship between them.",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-012-SYSTEM_B-F01,rq4-v1-012,SYSTEM_B,"What source-recorded functions, indications, and used part are listed for Lanceleaf Thermopsis?","The source records the function of Lanceleaf Thermopsis as: To relieve cough and dispel phlegm, moisten intestines and free stool..","Source entity: Lanceleaf Thermopsis. Source: TCMBank. Herb: Lanceleaf Thermopsis. Pinyin: MU MA DOU. Latin name: Thermopsis lanceolata. Used part: whole herb. Source-recorded function: To relieve cough and dispel phlegm, moisten intestines and free stool.. Source-recorded indication: Cough of phlegm asthma, dry stool..","Lanceleaf Thermopsis, known as Mu Ma Dou in pinyin, is the whole herb of Thermopsis lanceolata. Its functions include relieving cough and dispelling phlegm, as well as moistening intestines and freeing stool. It is indicated for cough with phlegm and asthma, as well as dry stool. [tcmv1-09b810d8e9ad4743bd2b0164]",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-058-SYSTEM_A-F02,rq4-v1-058,SYSTEM_A,"What source-recorded functions, indications, and used part are listed for Ginkgo Root?","The source records the indication of Ginkgo Root as: Emission, enuresis, frequent urination at night, vaginal discharge, stone strangury..","Source entity: Ginkgo Root. Source: TCMBank. Herb: Ginkgo Root. Pinyin: BAI GUO GEN. Latin name: Ginkgo biloba. Used part: root. Source-recorded function: To boost qi and supplement vacuity.. Source-recorded indication: Emission, enuresis, frequent urination at night, vaginal discharge, stone strangury..","TCM educational synthesis: Herbal Knowledge Agent: Ginkgo Root, known as BAI GUO GEN in pinyin and derived from Ginkgo biloba, is traditionally used in TCM for its function to boost qi and supplement vacuity. The source records indicate it may be used to address conditions such as emission, enuresis, frequent urination at night, vaginal discharge, and stone strangury. These claims are based on historical TCM texts and should not be interpreted as biomedical facts. [tcmv1-0c52e51fa9e92fc2eb5c2191] The retrieved evidence describes these topics separately and does not establish an explicit relationship between them.",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-094-SYSTEM_B-F01,rq4-v1-094,SYSTEM_B,"How are Prepared Frankincense and constipation due to heat in the large intestine represented separately in TCM Research Corpus v1, and what evidence is recorded for each?",The source records the function of Prepared Frankincense as: Treatment of pains caused by blood stagnation.,Source entity: Prepared Frankincense. Source: TCMBank. Herb: Prepared Frankincense. Pinyin: ZHI RU XIANG. Latin name: Resina Olibani Praparata. Traditional properties: Warm; Pungent; Bitter. Meridians: Spleen; Liver; Heart. Used part: Boswellia carterii Birdw. Source-recorded function: Treatment of pains caused by blood stagnation. Source-recorded indication: 1. Exerting significant analgesic effect.2. Dilating the peripheral blood vessels.3. Enhancing the phagocytosis of macrophages in the abdominal cavity of mice.. Clinical manifestations: 1. Exerting significant analgesic effect.2. Dilating the peripheral blood vessels.3. Enhancing the phagocytosis of macrophages in the abdominal cavity of mice..,"TCM educational synthesis: Herbal Knowledge Agent: Prepared Frankincense, with the pinyin ZHI RU XIANG and Latin name Resina Olibani Praparata, is traditionally characterized as having warm, pungent, and bitter properties. It is associated with the Spleen, Liver, and Heart meridians. According to traditional TCM content, it is used to treat pains caused by blood stagnation. The evidence also records its exerted significant analgesic effect, dilation of peripheral blood vessels, and enhancement of phagocytosis of macrophages in the abdominal cavity of mice. [tcmv1-0d1189e9bf28cb0f86feb849] Syndrome Differentiation Agent: constipation due to heat in the large intestine: evidence-supported facts for this target only  
The supplied evidence records that constipation due to heat in the large intestine, referred to as Chang Re, is associated with symptoms such as small intestine real heat, where heart fire descends to the small intestine, causing heat to affect the bladder. This leads to manifestations like painful and涩 small urination, irritability, and tongue ulcers, along with other signs of real heat. The evidence does not specify further details about the constipation itself. [tcmv1-773e9f8a3b91adece6c8996f] The retrieved evidence describes these topics separately and does not establish an explicit relationship between them.",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-008-SYSTEM_B-F01,rq4-v1-008,SYSTEM_B,"What source-recorded functions, indications, and used part are listed for Chinese Arborvitae Branch?","The source records the function of Chinese Arborvitae Branch as: To dispel wind and eliminate damp, resolve toxin and cure sores..","Source entity: Chinese Arborvitae Branch. Source: TCMBank. Herb: Chinese Arborvitae Branch. Pinyin: CE BAI ZHI JIE. Latin name: Thuja orientalis. Used part: branchlet. Source-recorded function: To dispel wind and eliminate damp, resolve toxin and cure sores.. Source-recorded indication: Wind impediment, joint running wind, cholera cramp, gum swelling and pain..","Chinese Arborvitae Branch, with the pinyin CE BAI ZHI JIE and Latin name Thuja orientalis, is used in traditional Chinese medicine. The used part is the branchlet. Its source-recorded functions include dispelling wind and eliminating damp, resolving toxin and curing sores. The indications associated with it are wind impediment, joint running wind, cholera cramp, and gum swelling and pain. [tcmv1-0dbdd3ad1e12414434370e11]",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-092-SYSTEM_B-F01,rq4-v1-092,SYSTEM_B,"How are Xiqingguo and abnormal rising of qi represented separately in TCM Research Corpus v1, and what evidence is recorded for each?","The source records the traditional properties of Xiqingguo as: Bitter,Sour,Astringent,Calm.","Source entity: Xiqingguo. Source: SymMap v2. Herb: Xiqingguo. Pinyin: Xiqingguo. Latin name: Chebulae Fructus Immaturus. Traditional properties: Bitter,Sour,Astringent,Calm. Meridians: Lung,Large Intestine. Traditional class: Heat-Clearing Medicinal.","TCM educational synthesis: Herbal Knowledge Agent: Xiqingguo is recorded in the supplied evidence as an herb with traditional properties of Bitter, Sour, Astringent, and Calm. It is associated with the Lung and Large Intestine meridians and classified as a Heat-Clearing Medicinal in traditional Chinese medicine. The evidence provides these characteristics without further details. [tcmv1-0cfbfe848ff2b75421bdf8f8] Syndrome Differentiation Agent: abnormal rising of qi: evidence-supported facts for this target only  
The supplied evidence records that abnormal rising of qi, or Qi Ni syndrome, is defined as a condition where the qi mechanism deviates from its normal function, specifically rising upward instead of moving smoothly. This is characterized by symptoms such as coughing, shortness of breath, nausea, headache, and dizziness. The evidence describes the syndrome's core feature as the upward movement of qi, disrupting the body's balance. No further details are provided about its causes or treatment. [tcmv1-761e4e15c7371527f0b6d7ba] The retrieved evidence describes these topics separately and does not establish an explicit relationship between them.",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-052-SYSTEM_B-F03,rq4-v1-052,SYSTEM_B,"What source-recorded functions, indications, and used part are listed for Appendiculate Cremastra?",The source records the used part of Appendiculate Cremastra as: pseudobulb.,"Source entity: Appendiculate Cremastra. Source: TCMBank. Herb: Appendiculate Cremastra. Pinyin: DU JUAN LAN. Latin name: Cremastra appendiculata. Used part: pseudobulb. Source-recorded function: To clear heat and resolve toxin, disperse swelling and dissipate binds.. Source-recorded indication: Malign sores with welling abscess and flat abscess, scrofula, throat pain and throat impediment, snake or insect bites..","TCM educational synthesis: Herbal Knowledge Agent: Appendiculate Cremastra, known as DU JUAN LAN in pinyin and Cremastra appendiculata in Latin, is used in traditional Chinese medicine with the recorded function of clearing heat and resolving toxin, as well as dispersing swelling and dissipating binds. Its source-recorded indications include malign sores with welling abscess and flat abscess, scrofula, throat pain, throat impediment, and snake or insect bites. The evidence specifies the use part as pseudobulb. No relationships are established with other targets. [tcmv1-0bea3dd620f87f16006b2132] The retrieved evidence describes these topics separately and does not establish an explicit relationship between them.",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-008-SYSTEM_A-F01,rq4-v1-008,SYSTEM_A,"What source-recorded functions, indications, and used part are listed for Chinese Arborvitae Branch?","The source records the function of Chinese Arborvitae Branch as: To dispel wind and eliminate damp, resolve toxin and cure sores..","Source entity: Chinese Arborvitae Branch. Source: TCMBank. Herb: Chinese Arborvitae Branch. Pinyin: CE BAI ZHI JIE. Latin name: Thuja orientalis. Used part: branchlet. Source-recorded function: To dispel wind and eliminate damp, resolve toxin and cure sores.. Source-recorded indication: Wind impediment, joint running wind, cholera cramp, gum swelling and pain..","TCM educational synthesis: Herbal Knowledge Agent: Chinese Arborvitae Branch, with the pinyin CE BAI ZHI JIE and Latin name Thuja orientalis, is used in traditional Chinese medicine. The evidence records that the branchlet is the used part. It is source-reported to have functions of dispelling wind and eliminating damp, resolving toxin and curing sores. Its indications include wind impediment, joint running wind, cholera cramp, and gum swelling and pain. [tcmv1-0dbdd3ad1e12414434370e11] The retrieved evidence describes these topics separately and does not establish an explicit relationship between them.",SUPPORTED,"The answer states the Gold atomic fact in substance, allowing harmless wording, ordering, or translation differences.",HIGH
RQ4-rq4-v1-039-SYSTEM_A-F02,rq4-v1-039,SYSTEM_A,What source-recorded function and indication are listed for Prepared Tortoise plastron?,"The source records the indication of Prepared Tortoise plastron as: Treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness, distension and pain in the head and blurred vision. Tortoise plastron (Guiban) is used with White peony root (Baishao), Cyathula root (Niuxi),.","Source entity: Prepared Tortoise plastron. Source: TCMBank. Herb: Prepared Tortoise plastron. Pinyin: ZHI GUI BAN. Latin name: Plastrum Testudinis Praparata. Traditional properties: Cold; Sweet; Salty. Meridians: Liver; Heart; Kidney. Source-recorded function: Treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness, distension and pain in the head and blurred vision. Tortoise plastron (Guiban) is used with White peony root (Baishao), Cyathula root (Niuxi), Sea-ear sh. Source-recorded indication: Treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness, distension and pain in the head and blurred vision. Tortoise plastron (Guiban) is used with White peony root (Baishao), Cyathula root (Niuxi),.","Prepared Tortoise plastron is used to treat hyperactivity of liver yang due to deficient yin of the liver and kidneys, manifested as dizziness, distension and pain in the head and blurred vision. It is traditionally associated with the liver, heart, and kidney meridians and has traditional properties of being cold, sweet, and salty. [tcmv1-0b139c086dfc1a868c86b9c9]",PARTIALLY_SUPPORTED,"The answer states the main Gold treatment for hyperactivity of liver yang due to liver-kidney yin deficiency and its symptoms, but omits the Gold source's accompanying combination details with other materia medica.",HIGH
