question_id,c1_full_recall,c2_full_recall,c1_partial_or_better,c2_partial_or_better,c1_missing_rate,c2_missing_rate,c1_contradiction_rate,c2_contradiction_rate,c1_latency_ms,c2_latency_ms,delta_latency_ms,c1_retrieval,c2_retrieval,c1_citation_recall,c2_citation_recall,c1_citation_precision,c2_citation_precision
tcmg-v1-051,0.6666666666666666,0.6666666666666666,1,1,0,0,0,0,32826,5262,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-002,1,1,1,1,0,0,0,0,8785,2803,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-052,1,1,1,1,0,0,0,0,62522,5547,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-004,1,1,1,1,0,0,0,0,2452,16046,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-005,1,1,1,1,0,0,0,0,4746,39300,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-006,1,1,1,1,0,0,0,0,24340,19793,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-007,1,1,1,1,0,0,0,0,69217,50270,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-053,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0.3333333333333333,0.3333333333333333,42196,73314,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-054,1,1,1,1,0,0,0,0,11342,53271,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-010,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,0,2445,11331,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-011,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,0,2102,4587,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-012,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,0,2421,89587,NaN,1,1,1,1,0.3333333333333333,0.3333333333333333
tcmg-v1-055,0,0,1,1,0,0,0,0,5006,68611,NaN,1,1,0,0,0,0
tcmg-v1-056,1,1,1,1,0,0,0,0,19717,77305,NaN,1,1,1,1,1,1
