question_id,question,c1_gold_evidence_retrieval_recall,c2_gold_evidence_retrieval_recall,delta_gold_evidence_retrieval_recall_c2_minus_c1,c1_gold_evidence_citation_recall,c2_gold_evidence_citation_recall,delta_gold_evidence_citation_recall_c2_minus_c1,c1_citation_precision,c2_citation_precision,delta_citation_precision_c2_minus_c1,c1_latency_ms,c2_latency_ms,delta_latency_ms_c2_minus_c1,c1_multi_target_both_targets_retrieved,c2_multi_target_both_targets_retrieved
"tcmg-v1-051","What traditional properties, meridians, and class are recorded for Peach Seed?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","32826","5262","-27564","",""
"tcmg-v1-002","What traditional properties, meridians, and class are recorded for Fengla?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","8785","2803","-5982","",""
"tcmg-v1-052","What traditional properties, meridians, and class are recorded for Odoriferous Rosewood?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","62522","5547","-56975","",""
"tcmg-v1-004","What traditional properties, meridians, and class are recorded for Luganshi?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","2452","16046","13594","",""
"tcmg-v1-005","What traditional properties, meridians, and class are recorded for root of Japanese Ampelopsis?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","4746","39300","34554","",""
"tcmg-v1-006","What traditional properties, meridians, and class are recorded for Siegesbeckiae Herba?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","24340","19793","-4547","",""
"tcmg-v1-007","What traditional properties, meridians, and class are recorded for Colored Mistletoe Herb?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","69217","50270","-18947","",""
"tcmg-v1-053","What traditional properties, meridians, and class are recorded for Vinegar?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","42196","73314","31118","",""
"tcmg-v1-054","What traditional properties, meridians, and class are recorded for Dried Tangerine Peel?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","11342","53271","41929","",""
"tcmg-v1-010","What traditional properties, meridians, and class are recorded for Coral?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","2445","11331","8886","",""
"tcmg-v1-011","What traditional properties, meridians, and class are recorded for Hairy Antler?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","2102","4587","2485","",""
"tcmg-v1-012","What traditional properties, meridians, and class are recorded for Myrrhtree gum resin?","1","1","0","1","1","0","0.3333333333333333","0.3333333333333333","0","2421","89587","87166","",""
"tcmg-v1-055","What source-recorded functions and indications are listed for Largeleaf Spicebush?","1","1","0","0","0","0","0","0","0","5006","68611","63605","",""
"tcmg-v1-056","What source-recorded functions and indications are listed for Silktree Albizia Bark?","1","1","0","1","1","0","1","1","0","19717","77305","57588","",""
"tcmg-v1-015","What source-recorded functions and indications are listed for root Pilose Asiabell; Pilose Asiabell?","1","1","0","1","1","0","1","1","0","24718","5259","-19459","",""
"tcmg-v1-016","What source-recorded functions and indications are listed for Woods Lcaquertree Leaf?","1","1","0","1","1","0","1","1","0","35163","49211","14048","",""
"tcmg-v1-017","What source-recorded functions and indications are listed for Root-tuber Cremanthodium?","1","1","0","1","1","0","1","1","0","20562","14861","-5701","",""
